datetime,temperature,humidity,pressure,rain
2026-03-29 15:00:00,30.0,71.3,1001.72906,0.0
2026-03-29 15:10:00,29.9,71.4,1001.71252,0.0
2026-03-29 15:20:00,30.1,71.3,1001.80579,0.0
2026-03-29 15:30:00,30.1,71.5,1001.89734,0.0
2026-03-29 15:40:00,29.9,72.2,1001.92834,0.0
2026-03-29 15:50:00,29.6,73.1,1001.98438,0.0
2026-03-29 16:00:00,29.8,72.8,1002.13922,0.0
2026-03-29 16:10:00,29.6,73.4,1002.09686,0.0
2026-03-29 16:20:00,29.5,73.9,1001.99573,0.0
2026-03-29 16:30:00,29.4,74.5,1002.02075,0.0
2026-03-29 16:40:00,29.3,74.6,1001.87671,0.0
2026-03-29 16:50:00,29.2,75.2,1001.84143,0.0
2026-03-29 17:00:00,29.2,75.1,1001.74719,0.0
2026-03-29 17:10:00,29.1,75.3,1001.6825,0.0
2026-03-29 17:20:00,29.1,75.7,1001.54138,0.0
2026-03-29 17:30:00,29.2,75.5,1001.55298,0.0
2026-03-29 17:40:00,29.2,75.5,1001.49109,0.0
2026-03-29 17:50:00,28.9,76.0,1001.37921,0.0
2026-03-29 18:00:00,29.0,75.6,1001.37811,0.0
2026-03-29 18:10:00,29.0,75.4,1001.40265,0.0
2026-03-29 18:20:00,29.0,75.3,1001.48633,0.0
2026-03-29 18:30:00,29.0,75.3,1001.31079,0.0
2026-03-29 18:40:00,29.0,75.3,1001.20172,0.0
2026-03-29 18:50:00,29.0,75.0,1001.18719,0.0
2026-03-29 19:00:00,28.9,75.0,1001.09204,0.0
2026-03-29 19:10:00,28.9,75.0,1001.04138,0.0
2026-03-29 19:20:00,28.9,74.9,1001.04596,0.0
2026-03-29 19:30:00,28.8,75.0,1001.04706,0.0
2026-03-29 19:40:00,28.8,75.0,1000.98224,0.0
2026-03-29 19:50:00,28.8,74.8,1000.92792,0.0
2026-03-29 20:00:00,28.8,75.0,1000.85767,0.0
2026-03-29 20:10:00,28.7,75.1,1000.8197,0.0
2026-03-29 20:20:00,28.8,75.1,1000.85333,0.0
2026-03-29 20:30:00,28.8,74.9,1000.76361,0.0
2026-03-29 20:40:00,28.7,75.0,1000.76642,0.0
2026-03-29 20:50:00,28.8,75.0,1000.73737,0.0
2026-03-29 21:00:00,28.8,75.0,1000.73383,0.0
2026-03-29 21:10:00,28.8,75.0,1000.66064,0.0
2026-03-29 21:20:00,28.7,75.1,1000.73291,0.0
2026-03-29 21:30:00,28.8,74.9,1000.76312,0.0
2026-03-29 21:40:00,28.6,74.9,1000.80219,0.0
2026-03-29 21:50:00,28.5,75.0,1000.86078,0.0
2026-03-29 22:00:00,28.5,75.0,1000.995,0.0
2026-03-29 22:10:00,28.5,75.2,1001.0603,0.0
2026-03-29 22:20:00,28.4,75.6,1001.21423,0.0
2026-03-29 22:30:00,28.5,75.7,1001.24719,0.0
2026-03-29 22:40:00,28.5,75.7,1001.20984,0.0
2026-03-29 22:50:00,28.4,76.0,1001.29749,0.0
2026-03-29 23:00:00,28.4,76.2,1001.48389,0.0
2026-03-29 23:10:00,28.4,76.0,1001.50781,0.0
2026-03-29 23:20:00,28.3,76.4,1001.58289,0.0
2026-03-29 23:30:00,28.2,76.8,1001.61108,0.0
2026-03-29 23:40:00,28.3,77.0,1001.7879,0.0
2026-03-29 23:50:00,28.3,77.0,1001.89948,0.0
2026-03-30 00:00:00,28.2,77.0,1002.02936,0.0
2026-03-30 00:10:00,28.3,76.8,1002.14197,0.0
2026-03-30 00:20:00,28.3,76.5,1002.41138,0.0
2026-03-30 00:30:00,28.3,76.3,1002.55157,0.0
2026-03-30 00:40:00,28.3,76.2,1002.76477,0.0
2026-03-30 00:50:00,28.4,75.6,1002.98358,0.0
2026-03-30 01:00:00,28.3,75.4,1003.0611,0.0
2026-03-30 01:10:00,28.4,75.2,1003.26483,0.0
2026-03-30 01:20:00,28.5,74.7,1003.42139,0.0
2026-03-30 01:30:00,28.5,73.6,1003.43939,0.0
2026-03-30 01:40:00,28.6,73.3,1003.49561,0.0
2026-03-30 01:50:00,28.6,73.6,1003.57947,0.0
2026-03-30 02:00:00,28.7,73.0,1003.70233,0.0
2026-03-30 02:10:00,28.6,71.9,1003.77795,0.0
2026-03-30 02:20:00,28.6,71.9,1003.62183,0.0
2026-03-30 02:30:00,28.8,71.4,1003.66571,0.0
2026-03-30 02:40:00,28.9,70.7,1003.67279,0.0
2026-03-30 02:50:00,28.9,71.0,1003.65375,0.0
2026-03-30 03:00:00,29.0,71.3,1003.5022,0.0
2026-03-30 03:10:00,29.1,70.1,1003.5517,0.0
2026-03-30 03:20:00,29.2,69.3,1003.53326,0.0
2026-03-30 03:30:00,29.3,68.4,1003.45813,0.0
2026-03-30 03:40:00,29.4,68.4,1003.33081,0.0
2026-03-30 03:50:00,29.4,67.6,1003.26904,0.0
2026-03-30 04:00:00,29.5,66.4,1003.08093,0.0
2026-03-30 04:10:00,29.7,66.2,1002.97662,0.0
2026-03-30 04:20:00,29.8,65.4,1002.86713,0.0
2026-03-30 04:30:00,29.8,65.5,1002.72131,0.0
2026-03-30 04:40:00,29.8,65.9,1002.51501,0.0
2026-03-30 04:50:00,29.9,64.6,1002.37701,0.0
2026-03-30 05:00:00,30.0,65.1,1002.07935,0.0
2026-03-30 05:10:00,30.0,67.0,1002.11493,0.0
